"Extension:","Модуль:"
"You can enter a note here, for example which e-mail was used to create the application and other necessary data.","Здесь вы можете вписать данные, например в качестве памятки на какой e-mail было зарегистрировано приложение и все необходимые данные."
"Enable registration and authorization with Vkontakte social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"" and ""Secret key"" must be filled, to enable icon for registration/authorization with Vkontakte.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Вконтакте. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Вконтакте, поля: ""Ключ приложения"" и ""Секретный ключ"" должны быть заполнены."
"Enable registration and authorization with Facebook social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"" and ""Secret key"" must be filled, to enable icon for registration/authorization with Facebook.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Фейсбук. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Фейсбук, поля: ""Ключ приложения"" и ""Секретный ключ"" должны быть заполнены."
"Enable registration and authorization with Google+ social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"" and ""Secret key"" must be filled, to enable icon for registration/authorization with Google+.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Гугл+. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Гугл+, поля: ""Ключ приложения"" и ""Секретный ключ"" должны быть заполнены."
"Enable registration and authorization with Odnoklassniki social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"", ""Secret key"" and ""Public key"" must be filled, to enable icon for registration/authorization with Odnoklassniki.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Одноклассники. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Одноклассники, поля: ""Ключ приложения"", ""Секретный ключ"" и ""Публичный ключ"" должны быть заполнены."
"Enable registration and authorization with Twitter social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"" and ""Secret key"" must be filled, to enable icon for registration/authorization with Twitter.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Facebook. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Facebook, поля: ""Ключ приложения"" и ""Секретный ключ"" должны быть заполнены."
"Enable registration and authorization with Yandex social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"" and ""Secret key"" must be filled, to enable icon for registration/authorization with Yandex.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Facebook. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Facebook, поля: ""Ключ приложения"" и ""Секретный ключ"" должны быть заполнены."
"Enable registration and authorization with Linkedin social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"" and ""Secret key"" must be filled, to enable icon for registration/authorization with Linkedin.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Facebook. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Facebook, поля: ""Ключ приложения"" и ""Секретный ключ"" должны быть заполнены."
"Enable registration and authorization with Github social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"" and ""Secret key"" must be filled, to enable icon for registration/authorization with Github.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Facebook. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Facebook, поля: ""Ключ приложения"" и ""Секретный ключ"" должны быть заполнены."
"Enable registration and authorization with Mail.Ru social network. <br> <span style=""color: red"">Important!</span> Fields: ""App key"" and ""Secret key"" must be filled, to enable icon for registration/authorization with Mail.Ru.","Включить модуль регистрации и входа в аккаунт при помощи соц. сети Facebook. <br> <span style=""color: red"">Важно!</span> Чтобы появилась иконка входа\регистрации через Facebook, поля: ""Ключ приложения"" и ""Секретный ключ"" должны быть заполнены."
"If you don't have a key, create an application on social network page: <a target=""_blank"" href=""https://vk.com/editapp?act=create"">https://vk.com/editapp?act=create</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a target=""_blank"" href=""https://vk.com/editapp?act=create"">https://vk.com/editapp?act=create</a>"
"If you don't have a key, create an application on social network page:  <a href=""https://developers.facebook.com/"" target=""_blank"">https://developers.facebook.com/</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a href=""https://developers.facebook.com/"" target=""_blank"">https://developers.facebook.com/</a>"
"If you don't have a key, create an application on social network page:  <a href=""https://code.google.com/apis/console"" target=""_blank"">https://code.google.com/apis/console</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a href=""https://code.google.com/apis/console"" target=""_blank"">https://code.google.com/apis/console</a>"
"If you don't have a key, create an application on social network page:  <a target=""_blank"" href=""http://ok.ru"">http://ok.ru</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a target=""_blank"" href=""http://ok.ru"">http://ok.ru</a>"
"If you don't have a key, create an application on social network page: <a href=""https://apps.twitter.com/"" target=""_blank"">https://apps.twitter.com/</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a href=""https://apps.twitter.com/"" target=""_blank"">https://apps.twitter.com/</a>"
"If you don't have a key, create an application on social network page: <a href=""https://oauth.yandex.ru/client/new"" target=""_blank"">https://oauth.yandex.ru/client/new</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a href=""https://oauth.yandex.ru/client/new"" target=""_blank"">https://oauth.yandex.ru/client/new</a>"
"If you don't have a key, create an application on social network page: <a href=""https://www.linkedin.com/secure/developer"" target=""_blank"">https://www.linkedin.com/secure/developer</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a href=""https://www.linkedin.com/secure/developer"" target=""_blank"">https://www.linkedin.com/secure/developer</a>"
"If you don't have a key, create an application on social network page: <a href=""https://github.com/settings/applications/"" target=""_blank"">https://github.com/settings/applications/</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a href=""https://github.com/settings/applications/"" target=""_blank"">https://github.com/settings/applications/</a>"
"If you don't have a key, create an application on social network page: <a href=""http://api.mail.ru/sites/my/add/"" target=""_blank"">http://api.mail.ru/sites/my/add/</a>","Если у вас нет ключа, создайте приложение на странице социальной сети: <a href=""http://api.mail.ru/sites/my/add/"" target=""_blank"">http://api.mail.ru/sites/my/add/</a>"
"Share buttons display settings","Настройки отображения кнопок ""Поделиться"""
"Vkontate icon title","Заголовок иконки Вконтакте"
"Facebook icon title","Заголовок иконки Фейсбук"
"Mail.Ru icon title","Заголовок иконки Mail.Ru"
"Odnoklassniki icon title","Заголовок иконки Одноклассники"
"Google+ icon title","Заголовок иконки Гугл+"
"Twitter icon title","Заголовок иконки Твиттер"
"Shown on icon hover","Показывается при наведении на иконку"
"Share block header","Заголовок блока ""Поделиться"""
"Social provider","Социальная сеть"
"Users amount","Колличество пользователей"
"Percents","Процент"
"Total","Всего"
"Filter","Фильтр"
"Show Report", "Показать отчёт"
"Users Group","Группа пользователей"
"Social Accounts","Социальные аккаунты"
"Social Accounts Report","Отчёт социальных аккаунтов"
