"PDF Customiser by Fooman","PDF Customiser av Fooman"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopier innholdet av ditt sertifikat/signaturfil inkludert din private nøkkel her. Inkluder alt fra  -----BEGIN RSA PRIVATE KEY----- til -----END CERTIFICATE-----"
"Password of Signature","Signaturpassord"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order PDF.","Egendefinert tekst som fremkommer nederst på PDF ordrebekreftelsen."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal stå på ordren? Merk at nedlastbare produkter ikke har leveringsadresse."
"Display","Visning"
"None","Ingen"
"Product Image","Produktbilde"
"SKU Barcode","SKU strekkode"
"Display Quantity as full number","Vis antall som helt tall"
"US","US"
"European","Europeisk"
"Customer Address Format","Kundeadresse format"
"Display Base and Order Currency","Vis basis og ordre valuta"
"Delivery Date","Leveringsdato"
"Display Delivery Date","Vis Leveringsdato"
"Displays the date of the invoice again. Needed in some jurisdictions.","Viser fakturadato på ny. Kreves i enkelte områder."
"Print Order History with Comments","Skriv ut ordrehistorikk med kommentarer"
"Single - Shipping Address Label","Enkel - Leveringsadresseetikett"
"Single - Billing Address Label","Enkel - Fakturaadresseetikett"
"Double - Both Addresses","Dobbel - begge adresser"
"Use Integrated Labels","Bruk integrerte etiketter"
"Print Order as Packing Slip","Skriv ut Ordre som Pakkseddel"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Bruk dette valget om du ønsker å skrive ut pakkseddel uten å opprette forsendelse. Pakkseddel skrives da ut med Ordre nummer, og ikke nummer for Forsendelse siden dette ikke er opprettet."
"Footer Block 1","Bunn Blokk 1"
"Footer Block 2","Bunn Blokk 2"
"Footer Block 3","Bunn Blokk 3"
"Footer Block 4","Bunn Blokk 4"
"Double - Shipping and Return Addresses","Dobbel - Forsendelse og retur adresse"
"Return Address","Retur Addresse"
"Total Weight","Total Vekt"
"Display Total Weight","Vis Total Vekt"
"kg","kg"
"Background Image for PDF","Bakgrunnsbilde for PDF utskrift"
"Placement of Logo","Plassering av Logo"
"Logo Width","Logo Bredde"
"Logo Height","Logo Høyde"
"Logo top-left Corner from the left","Logo topp-venstre Hjørne fra venstre"
"Logo top-left Corner from the top","Logo topp-venstre Hjørne fra topp"
"automatic","automatisk"
"no-scaling","ingen skalering"
"manual","manuell"
"Display Email Address","Vis e-post adresse"
"Displays as part of the billing address.","Vis som en del av faktura adresse."
"in milimeters","i milimeter"
"Display Row Subtotal Including Tax","Vis Rad Total Inkludert MVA"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","påvirkes bare om Tax > Orders, Invoices, Creditmemos Display Settings > Prices er satt til å ikke vise MVA"
"Grand Total is tax inclusive","Sluttsum er inkludert MVA"
"Display only one Grand Total","Vis bare en sluttsum"
"Display detailed Tax Summary","Vi detaljert MVA utregning"
"Columns","Kolonne"
"Columns Advanced","Avansert Kolonne"
"Display Background only on first page","Vis bakgrunn kun på første side"
"Display Page Number","Display Page Number"
"Custom Column","Egendefinert Kolonne"
"Custom Column Attribute","Egendefinert Kolonne Egenskap"
"Base Amount","Grunnlag"
"Select up to 5 attributes.","Velg opp til fem attributter."
"Position","Posisjon"
"Pos","Pos"
"right","høyre"
"left","venstre"
"Display PDF in New Window","Vis PDF i nytt vindu"
"Weight Unit","Vektenhet"
"Barcode Type","Strekkode type"
"PDF Totals Sort Order","PDF total"
"Upload Custom Font","Last opp egen font"
"Don't Use","Ikke bruk"
"Custom Label Left - Shipping Address","Etikett Venstre - Leveringsadresse"
"Custom Label Right - Shipping Address","Etikett Høyre - Leveringsadresse"
"Custom Label Left - Billing Address","Etikett Venstre - Fakturaadresse"
"Custom Label Right - Billing Address","Etikett Høyre - Fakturaadresse"
"Display Salesrule instead of Coupon Code","Vis salgsregel istedenfor Rabattkode"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Kombinerer Gave innpakking for ordre, produkter og utskrift av kort"
"Sort by Column","Sorter etter kolonne"
"Use Alternative Layout","Bruk alternativ utseende"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Påse at innholdet i strekkode inneholder korrekte tegn, ellers kan gererering av PDF feile. (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Dobbel - Levering og butikkadresse"
"Double - Shipping with Store Addresses and Image","Dobbel - Levering med butikkadresse og bilde"
"Page Orientation","Sideoppsett"
"Portrait","Portrett"
"Landscape","Landskap"
"Display Tracking Number as Barcode","Vis sporingsnummer som strekkode"
"Display Document Barcode","Vis strekkode på dokumentet"
